UserID,Age,Gender,Country,Purchase Amount,Purchase Date,Product Category
1,56,Female,USA,331.79,21-11-2021,Sports
2,69,Male,Australia,335.72,05-03-2022,Home & Kitchen
3,46,,Germany,493.18,,Books
4,32,Male,Germany,80.97,08-06-2023,Sports
5,60,Female,UK,21.75,,Beauty
6,,Male,France,,27-12-2021,Beauty
7,38,Female,Canada,222.2,23-02-2022,Beauty
8,56,Male,USA,217.27,08-09-2021,Sports
9,36,Male,Australia,116.53,04-06-2022,Clothing
10,40,Female,France,255.9,23-01-2020,Home & Kitchen
11,28,Female,Australia,223.88,17-03-2022,Beauty
12,28,Other,France,176,09-06-2020,
13,41,Female,USA,224.16,02-05-2023,Books
14,53,Male,Canada,195,22-09-2020,Books
15,57,Male,USA,470.25,23-03-2020,Books
16,,Female,Canada,490.22,,Sports
17,20,Other,Australia,420.75,16-10-2021,Clothing
18,,Female,UK,495.25,08-07-2021,Beauty
19,19,Male,Canada,136.53,09-12-2020,Electronics
20,41,Male,France,422.25,12-01-2020,Beauty
21,61,Other,UK,206.28,25-03-2021,Beauty
22,,Female,Australia,374.34,27-07-2021,Clothing
23,55,Male,,,13-08-2021,
24,19,Male,UK,,04-05-2021,Books
25,38,Male,Canada,46.31,05-04-2023,Electronics
26,50,Female,,,23-10-2021,Home & Kitchen
27,29,Female,Australia,411.87,09-04-2021,Books
28,39,Other,,,28-06-2022,Beauty
29,61,Male,Australia,253.12,08-09-2021,Electronics
30,42,Male,Germany,338.03,07-01-2020,Clothing
31,66,Other,Canada,96.86,03-10-2022,Beauty
32,44,Male,France,335.54,01-04-2023,Home & Kitchen
33,59,Other,UK,,12-03-2022,Sports
34,,Other,USA,417.44,,Beauty
35,33,Male,France,260.56,14-11-2020,Electronics
36,32,Female,UK,472.22,09-05-2020,Electronics
37,64,Female,France,241.69,18-04-2020,Beauty
38,68,Female,USA,219.38,06-08-2020,Beauty
39,61,Female,France,227.78,20-05-2021,
40,69,Male,France,183.07,04-03-2021,Clothing
41,20,Other,USA,87.5,03-10-2021,Home & Kitchen
42,54,Other,USA,,31-08-2020,Sports
43,68,Male,,197.6,13-03-2021,Books
44,,Female,Germany,,02-11-2020,Beauty
45,38,Other,,14.84,19-06-2022,Electronics
46,26,Male,Australia,34.83,02-07-2023,Electronics
47,56,Male,USA,300.61,12-09-2023,
48,35,Female,Australia,440.22,12-02-2021,Books
49,21,Male,France,249.23,18-01-2022,
50,42,Other,USA,86.66,,Beauty
51,31,Other,UK,62.48,15-02-2022,Books
52,67,Male,USA,450.4,12-07-2020,Home & Kitchen
53,26,Other,USA,352.31,20-08-2022,Electronics
54,43,Male,Australia,483.27,19-10-2023,Clothing
55,19,Other,Canada,45.76,01-05-2020,
56,37,Female,France,451.79,29-12-2020,Clothing
57,,Other,Australia,423.59,24-10-2022,Clothing
58,64,Female,France,,28-05-2020,Home & Kitchen
59,24,Female,UK,7.85,20-12-2022,Beauty
60,,Male,Germany,372.24,04-03-2022,Books
61,25,Female,Canada,276.72,14-02-2023,Beauty
62,64,Other,,288.72,25-04-2022,Home & Kitchen
63,,Other,UK,237.25,,Beauty
64,31,Female,France,372.63,07-03-2023,Beauty
65,34,Male,Canada,499.92,30-12-2021,Clothing
66,53,Female,France,356.72,02-04-2021,Electronics
67,67,Other,,340.63,29-04-2021,Clothing
68,57,Other,France,328.95,10-01-2023,Home & Kitchen
69,21,Female,USA,349.13,28-04-2022,Beauty
70,19,Female,France,174.35,14-12-2021,Beauty
71,23,Female,USA,163.51,06-12-2022,
72,59,Other,UK,393.25,09-12-2020,Books
73,21,,Germany,31.28,24-09-2023,Home & Kitchen
74,46,Other,Australia,380.83,23-08-2020,Beauty
75,35,Male,USA,407.85,24-10-2021,Beauty
76,43,Other,Germany,263.19,,Sports
77,61,Other,France,455.52,20-02-2023,Beauty
78,51,Male,Australia,239.18,29-08-2022,Clothing
79,27,Male,France,93.15,02-09-2020,Books
80,53,Male,UK,183.89,01-07-2023,Books
